id_producto,producto,proveedor,categoria
6678075506820,Arcor Almendrado X 675G (1.4 L),ARCOR,
6774796222596,Bella Aurora Gel Limpiador Anti-Manchas X 200Ml,BELLA AURORA,
7177907896452,Byphasse Crema Depiladora Proteina De Seda X 125Ml,BYPHASSE,
10024297627780,Combo Garnier Agua Micelar En Aceite/Bifásica 400 ml + Maybelline Labial S.Stay Matte Ink Frida City Dancer 118 5 ml,GARNIER,
6770291015812,Combo Pascuero Breick X 160G,BREICK,
6566492110980,Delizia Leche Mora X 150Ml,DELIZIA,
5135553462404,Familia Toalla De Cocina Triple Hoja 120 Hojas Acolchamax X Unidad,FAMILIA,
5135782412420,Karcher Limpiadora A Vapor Sc2 Easyfix,KARCHER,
8185275318404,Revox Just Squalane Cl Limp Con Escualano X 30Ml,REVOX,
5029387698308,Sesderma Repaskin Fotoprot Spf50 Tacto Seda X 50Ml,SESDERMA,
5028315037828,Cepillo Colgate 360 Surround 2 Unidades X Paquete,ARMONIZA,
5028341973124,Cuore 100Mg Acido Acetil Salicilico X Tableta,CUORE,
7282876973188,Gobbifol Propofol 200Mg X Ampolla / 20Ml,GOBBIFOL,
7031738531972,Miniso Peluche De Pinguino Con Capucha Family 8.7 Pen Pen,MINISO,
7058478334084,Set Shampoo Frozen II X 200Ml + Colonia 200Ml,ALGABO,
5029438423172,Tobillera Simple Neopren Talla S X Pieza,BLUNDING,
7261362782340,Bronceador Catrice LTE Wild Scape + Iluminador Glowy C01,CATRICE,
5129343303812,Nutrisse # 67 Chocolate Mocha Seduccion,NUTRISSE,
5129307881604,Slimvance Core Slimming Complex Suplemento X120 Cap,GNC,
8178856853636,Bálsamo Labial Lip Smacker Emoji Cinderella X Unidad,LIP SMACKER,
8178856820868,Bálsamo Labial Lip Smacker Emoji Minnie X Unidad,LIP SMACKER,
8178856722564,Bálsamo Labial Lip Smacker Tsum Tsum Minnie X Unidad,LIP SMACKER,
7226927284356,Batido Nutricional Best Diet Atlhetica Platano X 350G,ARMONIZA,
6961562845316,Crema Uriage Eau Thermale Bebé 1Er Change X 100Ml,URIAGE,
6586895204484,Ebia Miel De Abeja Jarra X 500G,EBIA,
7117980369028,Lip Smacker Balsamo Labial Trio Crayola X 3 Unidades,LIP SMACKER,
