codigo;bbyss;ponderador
1;Alimentos y Bebidas No Alcohólicas;27,06
1110101;Pan corriente;1,94
1110102;Pan especial;0,23
1110103;Galletas;0,49
1110201;Panetón;0,08
1110203;Torta;0,2
1110204;Empanada al horno;0,19
1110213;Queques;0,04
1110214;Llauchas;0,03
1110216;Cuñapé;0,06
1110221;Productos de panadería y pastelería frita;0,1
1110301;Arroz;0,75
1110302;Maíz;0,04
1110306;Quinua;0
1110401;Harina de trigo;0,14
1110502;Preparados obtenidos por hinchamiento, tostado o extrusión de cereales;0,23
1110505;Avena procesada;0,01
1110601;Fideo;0,49
1120101;Carne de res con hueso;1,23
1120102;Carne de res sin hueso;4,12
1120104;Hueso de res;0,14
1120201;Carne fresca de ganado porcino entero o cortes especiales;0,18
1120301;Carne fresca de ganado ovino por piezas (cordero);0,07
1120501;Carne de llama;0,01
1120601;Carne de pollo;2,08
1120801;Hígado/riñón/corazón/pulmón;0,14
1120803;Panza/libro/tripas;0,02
1120899;Otros despojos comestibles de animales;0,05
1120901;Carnes secas/charque/chalona;0,01
1121001;Carnes frías/mortadela;0,1
1121004;Chorizos;0,07
1121007;Salchichas;0,11
1121010;Picadillo;0
1121101;Milanesas/ hamburguesas y silpanchos preparados;0,01
1130101;Pescados frescos;0,23
1130105;Pescados y alimentos marinos en conserva frescos o procesados;0,08
1140101;Leche natural;0,05
1140102;Leche pasteurizada;0,99
1140103;Leche en polvo;0,35
1140104;Leche evaporada;0,03
1140107;Yogur;0,18
1140108;Otros productos lácteos;0,18
1140201;Quesos y cuajada;0,57
1140301;Productos lácteos no de leche de vaca;0,04
1140401;Huevos y productos derivados preparados íntegramente con huevos;0,53
1150101;Aceite comestible/aceite a granel;0,36
1150201;Mantequilla y margarina;0,26
1160121;Durazno;0
1160141;Limón;0,01
1160145;Mandarina;0,07
1160147;Manzana;0,4
1160155;Naranja;0,05
1160162;Palta;0,09
1160163;Papaya;0,06
1160164;Pera;0
1160166;Piña;0,03
1160169;Plátano/guineo/banano/banana;0,62
1160170;Sandía;0,12
1160176;Uva;0,19
1160185;Plátano/postre para cocinar;0,17
1170101;Acelga;0,02
1170102;Achojcha;0,02
1170103;Ají;0
1170104;Ajo;0
1170107;Apio;0,03
1170110;Betarraga/remolacha;0,01
1170111;Brócoli;0,02
1170112;Cebolla;0,44
1170113;Choclo;0,1
1170117;Espinaca;0,02
1170120;Lechuga;0,11
1170121;Locoto;0,05
1170122;Nabo;0,03
1170123;Pepino y pepinillo;0,04
1170124;Perejil;0,03
1170125;Pimentón/morrón;0,1
1170128;Repollo;0,02
1170129;Tomate;0,53
1170132;Zanahoria;0,34
1170133;Zapallo/joco/ancu/iscariote;0,09
1170134;Arveja verde;0,2
1170135;Haba verde;0,16
1170136;Vainita;0,07
1170137;Conjunto de verduras picadas/surtido de legumbres en bolsa;0,01
1170201;Papa;0,69
1170208;Yuca/mandioca;0,04
1170301;Frejol/poroto;0
1170303;Lenteja;0
1170401;Tubérculos secos;0,05
1170402;Tubérculos en conserva;0,07
1170404;Otros productos a base de tubérculos;0
1170502;Maní;0,01
1180101;Azúcar;0,37
1180201;Mermeladas y dulces;0,01
1180401;Chocolates;0,06
1180402;Caramelos/dulces;0,06
1180403;Goma de mascar/chicle;0,04
1180502;Helado;0,35
1190101;Sal;0,05
1190102;Especias, salsas, condimentos, aderezos y similares;0,41
1190202;Extractos de jugos de carne, sopas y caldos;0,21
1190203;Concentrados artificiales para preparar bebidas saborizadas;0,02
1199901;Otros productos alimenticios n.e.p.;0,05
1210101;Café;0,15
1210201;Té;0,04
1210203;Hojas de coca para mate;0,04
1210288;Hierbas naturales (coca, manzanilla, eucalipto, boldo, cedrón, etc.);0,02
1210302;Polvos a base de chocolate (alimentos achocolatados);0,1
1220102;Agua natural envasada;0,26
1220201;Bebidas gaseosas;2,05
1220301;Jugos de fruta envasados;0,31
1220401;Polvos para preparar refrescos o jugos;0
1220501;Bebidas energizantes y deportivas;0,08
1220601;Otras bebidas no alcohólicas;0,01
2;Bebidas Alcohólicas y Tabaco ;0,88
2110102;Singani;0,01
2110103;Whisky;0,02
2110113;Aperitivos a base de bebidas destiladas;0,01
2120101;Vino;0,09
2120102;Champagne/sidra;0,01
2130101;Cerveza;0,65
2200101;Cigarrillos;0,09
3;Prendas de Vestir y Calzado;7,56
3110101;Telas para confeccionar prendas de vestir;0,03
3120101;Chompas/jerseys/suéteres;0,24
